"n.trees" "interaction.depth" "shrinkage" "acc"
2700 3 0.001 0.791352657004831
2400 4 0.001 0.789227053140097
3000 4 0.001 0.773671497584541
300 4 0.01 0.76512077294686
2400 5 0.001 0.771932367149758
1800 5 0.001 0.773768115942029
2100 3 0.001 0.756086956521739
2100 1 0.001 0.795845410628019
300 1 0.01 0.775555555555556
900 1 0.01 0.760386473429952
