"semimetric" "accuNCV"
NA NA
"Manhattan" 0.551785714285714
"Euclidean" 0.559025974025974
"mean" 0.517272727272727
"L3" 0.520941558441558
"L4" 0.524577922077922
"Frechet" 0.57724025974026
"Hausdorff" 0.582402597402597
"dtw" 0.571753246753247
"Levenshtein" 0.520844155844156
"Hamming" 0.528214285714286
"globMax" 0.577175324675325
"globMin" 0.540746753246753
"globMaxU-x" 0.59711038961039
"globMinU-x" 0.540681818181818
"globMaxU-y" 0.555324675324675
"globMinU-y" 0.480909090909091
"range" 0.535292207792208
"rangeU-x" 0.528214285714286
"rangeU-y" 0.542564935064935
"dcor" 0.491850649350649
"Aitchison" 0.540941558441558
