"semimetric" "accuNCV"
NA NA
"Manhattan" 0.505589225589226
"Euclidean" 0.492794612794613
"mean" 0.452525252525252
"L3" 0.472659932659933
"L4" 0.476262626262626
"Frechet" 0.492491582491582
"Hausdorff" 0.510808080808081
"dtw" 0.487138047138047
"Levenshtein" 0.521919191919192
"Hamming" 0.54006734006734
"globMax" 0.426835016835017
"globMin" 0.514478114478114
"globMaxU-x" 0.490942760942761
"globMinU-x" 0.476262626262626
"globMaxU-y" 0.489326599326599
"globMinU-y" 0.470774410774411
"range" 0.521616161616162
"rangeU-x" 0.474444444444444
"rangeU-y" 0.501885521885522
"dcor" 0.485420875420875
"Aitchison" 0.50013468013468
