"semimetric" "accuNCV"
NA NA
"Manhattan" 0.545387205387205
"Euclidean" 0.551043771043771
"mean" 0.611178451178451
"L3" 0.529124579124579
"L4" 0.521818181818182
"Frechet" 0.507037037037037
"Hausdorff" 0.507138047138047
"dtw" 0.543872053872054
"Levenshtein" 0.521919191919192
"Hamming" 0.54006734006734
"globMax" 0.53993265993266
"globMin" 0.52030303030303
"globMaxU-x" 0.483434343434343
"globMinU-x" 0.589191919191919
"globMaxU-y" 0.554983164983165
"globMinU-y" 0.48023569023569
"range" 0.523737373737374
"rangeU-x" 0.505252525252525
"rangeU-y" 0.536228956228956
"dcor" 0.512592592592593
"Aitchison" 0.50013468013468
