"ensemble" "accuNCV" "last"
"1-2" NA NA
"1-2" 0.681951020408163 1
"1-2-3" 0.678648979591837 0
"1-2-4" 0.682355102040816 1
"1-2-4-5" 0.683163265306122 1
"1-2-4-5-6" 0.688391836734694 1
"1-2-4-5-6-7" 0.689583673469388 1
"1-2-4-5-6-7-8" 0.688012244897959 0
"1-2-4-5-6-7-9" 0.68534693877551 0
"1-2-4-5-6-7-10" 0.687142857142857 0
"1-2-4-5-6-7-11" 0.690012244897959 1
"1-2-4-5-6-7-11-12" 0.688383673469388 0
