"n.trees" "interaction.depth" "shrinkage" "acc"
1200 1 0.01 0.726
1500 1 0.01 0.689795918367347
2400 5 0.001 0.701673469387755
1800 2 0.01 0.695632653061224
1800 5 0.01 0.701755102040816
600 2 0.01 0.69134693877551
2400 1 0.01 0.681591836734694
2700 4 0.001 0.682979591836735
1200 4 0.01 0.717959183673469
2400 1 0.01 0.697632653061224
