"n.trees" "interaction.depth" "shrinkage" "acc"
2700 2 0.001 0.701918367346939
900 1 0.01 0.686081632653061
2700 4 0.001 0.701795918367347
900 5 0.001 0.67734693877551
2700 1 0.01 0.695755102040816
2100 1 0.01 0.703510204081633
1500 3 0.001 0.677591836734694
2100 4 0.001 0.699142857142857
1500 5 0.01 0.705959183673469
3000 2 0.001 0.677632653061224
