"n.trees" "interaction.depth" "shrinkage" "acc"
600 2 0.01 0.699836734693878
900 1 0.01 0.681918367346939
2100 4 0.001 0.693755102040816
1800 2 0.01 0.677387755102041
600 1 0.01 0.700040816326531
3000 1 0.01 0.697469387755102
1800 2 0.001 0.673591836734694
2400 3 0.001 0.705142857142857
1500 1 0.01 0.705591836734694
600 2 0.01 0.683673469387755
