"semimetric" "accuNCV"
NA NA
"Manhattan" 0.465454545454545
"Euclidean" 0.426936026936027
"mean" 0.478047138047138
"L3" 0.421548821548822
"L4" 0.427070707070707
"Frechet" 0.469259259259259
"Hausdorff" 0.478047138047138
"dtw" 0.510909090909091
"Levenshtein" 0.545589225589226
"Hamming" 0.552861952861953
"globMax" 0.491144781144781
"globMin" 0.45979797979798
"globMaxU-x" 0.474478114478114
"globMinU-x" 0.45979797979798
"globMaxU-y" 0.427138047138047
"globMinU-y" 0.45979797979798
"range" 0.491144781144781
"rangeU-x" 0.472693602693603
"rangeU-y" 0.39973063973064
"dcor" 0.449057239057239
"Aitchison" 0.523905723905724
