"semimetric" "accuNCV"
NA NA
"Manhattan" 0.526980392156863
"Euclidean" 0.510823529411765
"mean" 0.526980392156863
"L3" 0.463019607843137
"L4" 0.479058823529412
"Frechet" 0.485058823529412
"Hausdorff" 0.497019607843137
"dtw" 0.515058823529412
"Levenshtein" 0.518862745098039
"Hamming" 0.524823529411765
"globMax" 0.485098039215686
"globMin" 0.511058823529412
"globMaxU-x" 0.483098039215686
"globMinU-x" 0.511058823529412
"globMaxU-y" 0.474980392156863
"globMinU-y" 0.511058823529412
"range" 0.503176470588235
"rangeU-x" 0.491098039215686
"rangeU-y" 0.472980392156863
"dcor" 0.570666666666667
"Aitchison" 0.517098039215686
