"semimetric" "accuNCV"
NA NA
"Manhattan" 0.509837662337662
"Euclidean" 0.526233766233766
"mean" 0.569935064935065
"L3" 0.520811688311688
"L4" 0.52987012987013
"Frechet" 0.53
"Hausdorff" 0.535194805194805
"dtw" 0.513571428571429
"Levenshtein" 0.513701298701299
"Hamming" 0.52275974025974
"globMax" 0.5425
"globMin" 0.524318181818182
"globMaxU-x" 0.52801948051948
"globMinU-x" 0.524318181818182
"globMaxU-y" 0.557175324675325
"globMinU-y" 0.524318181818182
"range" 0.5425
"rangeU-x" 0.52801948051948
"rangeU-y" 0.557175324675325
"dcor" 0.521038961038961
"Aitchison" 0.52461038961039
