"n.trees" "interaction.depth" "shrinkage" "acc"
600 6 0.001 0.723755102040816
1500 1 0.01 0.689510204081633
900 1 0.01 0.693551020408163
1200 1 0.01 0.681673469387755
2100 1 0.01 0.699632653061224
2400 6 0.01 0.677510204081633
1500 1 0.01 0.677591836734694
600 6 0.01 0.741551020408163
1500 2 0.01 0.718040816326531
900 2 0.01 0.729755102040816
