"n.trees" "interaction.depth" "shrinkage" "acc"
1800 1 0.01 0.728122448979592
2700 1 0.01 0.687551020408163
600 4 0.01 0.703551020408163
300 6 0.01 0.685387755102041
600 2 0.01 0.687673469387755
1200 6 0.01 0.685714285714286
1200 2 0.01 0.683673469387755
1200 6 0.01 0.733265306122449
1200 2 0.01 0.722040816326531
3000 1 0.01 0.70334693877551
