"n.trees" "interaction.depth" "shrinkage" "acc"
1500 4 0.001 0.681469387755102
900 6 0.01 0.673551020408163
1200 1 0.01 0.669102040816327
3000 6 0.001 0.677265306122449
900 5 0.01 0.671795918367347
1500 3 0.01 0.685918367346939
600 3 0.01 0.686244897959184
600 4 0.01 0.697795918367347
600 1 0.01 0.663183673469388
900 6 0.01 0.689795918367347
