"n.trees" "interaction.depth" "shrinkage" "acc"
300 3 0.01 0.67930612244898
1800 4 0.01 0.683632653061224
2100 1 0.001 0.655020408163265
3000 5 0.01 0.656979591836735
1200 3 0.01 0.667877551020408
2400 6 0.001 0.661714285714286
1200 4 0.001 0.680367346938776
1800 6 0.01 0.67734693877551
1200 5 0.01 0.64469387755102
2700 4 0.001 0.671387755102041
