"n.trees" "interaction.depth" "shrinkage" "acc"
2700 6 0.001 0.689428571428571
2400 2 0.001 0.677469387755102
2400 1 0.01 0.655020408163265
3000 5 0.01 0.648897959183673
1500 4 0.01 0.669877551020408
3000 3 0.001 0.667510204081633
1800 1 0.01 0.678040816326531
3000 6 0.01 0.683591836734694
900 1 0.01 0.642938775510204
300 5 0.01 0.645020408163265
