"semimetric" "accuNCV"
NA NA
"Manhattan" 0.580666666666667
"Euclidean" 0.522941176470588
"mean" 0.472901960784314
"L3" 0.504862745098039
"L4" 0.510901960784314
"Frechet" 0.574901960784314
"Hausdorff" 0.565098039215686
"dtw" 0.728588235294118
"Levenshtein" 0.518862745098039
"Hamming" 0.524823529411765
"globMax" 0.427019607843137
"globMin" 0.700549019607843
"globMaxU-x" 0.536823529411765
"globMinU-x" 0.495137254901961
"globMaxU-y" 0.502901960784314
"globMinU-y" 0.708470588235294
"range" 0.592745098039216
"rangeU-x" 0.494980392156863
"rangeU-y" 0.602862745098039
"dcor" 0.510901960784314
"Aitchison" 0.517098039215686
