"n.trees" "interaction.depth" "shrinkage" "acc"
600 5 0.001 0.778260869565217
2700 1 0.001 0.782705314009662
3000 5 0.001 0.771545893719807
600 5 0.01 0.762753623188406
2100 2 0.001 0.778550724637681
1500 1 0.01 0.771594202898551
600 1 0.01 0.762657004830918
900 4 0.01 0.789371980676329
900 2 0.01 0.773333333333333
600 2 0.01 0.749323671497584
