"semimetric" "accuNCV"
NA NA
"Manhattan" 0.581986531986532
"Euclidean" 0.574646464646465
"mean" 0.602020202020202
"L3" 0.563703703703704
"L4" 0.554612794612795
"Frechet" 0.487272727272727
"Hausdorff" 0.501784511784512
"dtw" 0.571144781144781
"Levenshtein" 0.545589225589226
"Hamming" 0.552861952861953
"globMax" 0.508922558922559
"globMin" 0.501750841750842
"globMaxU-x" 0.456262626262626
"globMinU-x" 0.583804713804714
"globMaxU-y" 0.565858585858586
"globMinU-y" 0.476565656565657
"range" 0.518383838383838
"rangeU-x" 0.503400673400673
"rangeU-y" 0.505252525252525
"dcor" 0.470740740740741
"Aitchison" 0.523905723905724
