"semimetric" "accuNCV"
NA NA
"Manhattan" 0.529772727272727
"Euclidean" 0.535194805194805
"mean" 0.515292207792208
"L3" 0.517077922077922
"L4" 0.522402597402597
"Frechet" 0.513636363636364
"Hausdorff" 0.546233766233766
"dtw" 0.517077922077922
"Levenshtein" 0.513701298701299
"Hamming" 0.52275974025974
"globMax" 0.551785714285714
"globMin" 0.524350649350649
"globMaxU-x" 0.522564935064935
"globMinU-x" 0.531818181818182
"globMaxU-y" 0.553538961038961
"globMinU-y" 0.546201298701299
"range" 0.540909090909091
"rangeU-x" 0.546201298701299
"rangeU-y" 0.542597402597403
"dcor" 0.502694805194805
"Aitchison" 0.52461038961039
