"n.trees" "interaction.depth" "shrinkage" "acc"
600 1 0.01 0.67134693877551
1500 5 0.001 0.679510204081633
300 1 0.01 0.685510204081633
1200 2 0.001 0.658979591836735
1200 1 0.01 0.661918367346939
3000 1 0.001 0.691755102040816
300 2 0.01 0.669836734693878
600 2 0.001 0.679714285714286
2100 4 0.001 0.685632653061224
2400 2 0.001 0.677591836734694
