"n.trees" "interaction.depth" "shrinkage" "acc"
900 1 0.01 0.665142857142857
3000 3 0.001 0.679428571428571
3000 1 0.001 0.68130612244898
1800 2 0.001 0.667183673469388
1200 1 0.01 0.67
2100 4 0.001 0.683877551020408
1200 3 0.001 0.665877551020408
900 3 0.001 0.681877551020408
1500 4 0.01 0.695632653061224
1200 5 0.01 0.683755102040816
