"n.trees" "interaction.depth" "shrinkage" "acc"
300 7 0.001 0.697632653061224
2400 1 0.01 0.707673469387755
600 2 0.01 0.705795918367347
600 1 0.01 0.67930612244898
1800 2 0.01 0.707673469387755
2100 2 0.01 0.689510204081633
300 4 0.01 0.705836734693878
300 5 0.01 0.713102040816327
2700 7 0.01 0.685836734693878
900 5 0.01 0.699551020408163
