"n.trees" "interaction.depth" "shrinkage" "acc"
1500 7 0.001 0.673551020408163
600 5 0.001 0.640938775510204
1200 4 0.001 0.665265306122449
300 2 0.01 0.653020408163265
1500 2 0.001 0.647510204081633
300 2 0.01 0.649102040816326
300 6 0.001 0.639591836734694
300 7 0.01 0.66065306122449
1200 5 0.001 0.651510204081633
900 7 0.001 0.707591836734694
