"semimetric" "accuNCV"
NA NA
"Manhattan" 0.534627450980392
"Euclidean" 0.529019607843137
"mean" 0.497019607843137
"L3" 0.490980392156863
"L4" 0.492901960784314
"Frechet" 0.489137254901961
"Hausdorff" 0.505019607843137
"dtw" 0.495058823529412
"Levenshtein" 0.550588235294118
"Hamming" 0.554588235294118
"globMax" 0.507058823529412
"globMin" 0.491058823529412
"globMaxU-x" 0.515098039215686
"globMinU-x" 0.491058823529412
"globMaxU-y" 0.506941176470588
"globMinU-y" 0.491058823529412
"range" 0.507058823529412
"rangeU-x" 0.515098039215686
"rangeU-y" 0.506941176470588
"dcor" 0.536745098039216
"Aitchison" 0.509137254901961
