"semimetric" "accuNCV"
NA NA
"Manhattan" 0.493019607843137
"Euclidean" 0.503176470588235
"mean" 0.491058823529412
"L3" 0.502941176470588
"L4" 0.506901960784314
"Frechet" 0.502980392156863
"Hausdorff" 0.488980392156863
"dtw" 0.511019607843137
"Levenshtein" 0.550588235294118
"Hamming" 0.554588235294118
"globMax" 0.512901960784314
"globMin" 0.528862745098039
"globMaxU-x" 0.475254901960784
"globMinU-x" 0.484941176470588
"globMaxU-y" 0.50521568627451
"globMinU-y" 0.520823529411765
"range" 0.477254901960784
"rangeU-x" 0.483254901960784
"rangeU-y" 0.530980392156863
"dcor" 0.544862745098039
"Aitchison" 0.509137254901961
