"semimetric" "accuNCV"
NA NA
"Manhattan" 0.520876623376623
"Euclidean" 0.522564935064935
"mean" 0.508181818181818
"L3" 0.524480519480519
"L4" 0.493506493506494
"Frechet" 0.51525974025974
"Hausdorff" 0.531623376623377
"dtw" 0.513409090909091
"Levenshtein" 0.520844155844156
"Hamming" 0.528214285714286
"globMax" 0.51737012987013
"globMin" 0.531590909090909
"globMaxU-x" 0.528051948051948
"globMinU-x" 0.511850649350649
"globMaxU-y" 0.542662337662338
"globMinU-y" 0.55711038961039
"range" 0.553636363636364
"rangeU-x" 0.531720779220779
"rangeU-y" 0.55724025974026
"dcor" 0.477142857142857
"Aitchison" 0.540941558441558
